,event_time,event_index,insulin_factor,insulin_dose,level_change,slope_change,pvalue_level,pvalue_slope
0,2024-01-01 07:30:00,0,1.0,4.9,-77.17489177489169,1.3859740259740119,2.0287572197428655e-09,1.1781387969668952e-09
1,2024-01-01 12:05:00,1,1.0,5.6,31.494372294372248,-0.723982683982676,4.7830369361890424e-11,1.4911431974046825e-12
2,2024-01-01 19:00:00,2,1.0,6.1,-23.555844155844156,0.23740259740259395,0.056608635733363326,0.23836223000067155
3,2024-01-02 07:40:00,3,1.0,6.1,-38.889177489177456,0.5574025974025909,0.00039313773193576373,0.0015696835225711694
4,2024-01-02 12:45:00,4,1.0,6.5,34.731601731601685,-0.762251082251074,1.3120645338539436e-05,1.0417673147648957e-06
